BEGIN_DATE,END_DATE,wells
2010-02-23,2010-02-23,tinta1
2010-08-10,2010-08-12,oaks5-oaks4-oaks2-escondido4-escondido1
2010-08-20,2010-08-20,oaks3b-escondido3b-escondido3
2011-04-15,2011-04-20,tinta2-tinta6-oaks1-tinta3-tinta5-escondido2-lowerjalamavaqueros-quailcanyon1
2011-05-24,2011-05-24,oaks3
2016-06-16,2016-06-16,tinta7-oaks2
2017-01-16,2017-01-18,tinta5b-tinta6-tinta3-tinta2-escondido2-escondido3b-oaks3b-escondido1-oaks4-escondido5-lowerjalamavaqueros-tinta11a-oaks1-escondido3-tinta11b
2017-03-08,2017-03-09,escondido2-oaks3b-escondido3b-oaks4-quailcanyon1-tinta6-lowerjalamavaqueros-tinta3-tinta2
2017-04-10,2017-04-11,tinta5b-escondido3b-lowerjalamavaqueros-tinta3-tinta11a-tinta2-tinta6-tinta11b-oaks3b-oaks4-quailcanyon1
2017-05-02,2017-05-03,tinta11a-tinta11b-oaks3b
2017-08-20,2017-08-20,escondido3
2020-07-03,2020-07-03,oaks3b
2020-07-17,2020-07-17,escondido4-tinta2-tinta11b
2020-08-11,2020-08-11,escondido5
2020-11-04,2020-11-04,tinta7-escondido3b-escondido3-tinta3
2021-03-24,2021-03-24,oaks5-oaks1-oaks4-oaks2
2022-07-15,2022-07-15,oaks1
2010-02-22,2010-02-22,tinta1
2010-05-15,2010-05-30,lowerjalamavaqueros-quailcanyon1
2010-06-09,2010-06-09,oaks1
2010-06-19,2010-06-24,tinta6-tinta3-tinta7-tinta2-escondido4-oaks3b-escondido3b-oaks4-oaks5-oaks2-escondido2-escondido1
2010-08-02,2010-08-05,escondido1-escondido4-escondido3b-escondido3-oaks3b-oaks5-oaks4-oaks2
2010-12-18,2010-12-20,oaks1-tinta5-tinta6-tinta3-tinta2
2011-02-01,2011-02-01,escondido2
2011-05-13,2011-05-13,oaks3
2016-09-13,2016-09-14,tinta5b-oaks3b-oaks4-lowerjalamavaqueros-tinta3-oaks2-tinta11a-oaks1-tinta7-tinta2-tinta6-tinta11b-escondido2-escondido3b-escondido3-escondido5
2017-03-08,2017-03-09,tinta5b-lowerjalamavaqueros-tinta3-tinta11a-tinta2-tinta6-tinta11b-oaks3b-escondido3b-oaks4-escondido5-quailcanyon1
2017-04-10,2017-04-11,tinta11a-tinta11b-oaks3b
2017-05-02,2017-05-03,escondido3b-tinta3-escondido3-tinta2-tinta11b-oaks3b-oaks1-oaks4
2018-10-11,2018-10-11,escondido3
