Escondido 1,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected (Y/N)
LeveloggerIIescondido1,LeveloggerII,ft,C,16/05/2010,,
LeveloggerIIescondido1,LeveloggerII,ft,C,23/06/2010 ,,
LT_Goldescondido1,LT_Gold,ft,C,1/18/2017,,
LT_Goldescondido1,LT_Gold,ft,C,3/8/2017,,
Escondido 2,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIescondido2,LeveloggerII,ft,C,16/05/2010 10:45:00,,
LeveloggerIIescondido2,LeveloggerII,ft,C,23/06/2010 18:30:00,,
LT_EDGEescondido2,LT_EDGE,ft,C,9/13/2016,,
LT_EDGEescondido2,LT_EDGE,ft,C,3/8/2017,,
LT_EDGEescondido2,LT_EDGE,ft,C,11/4/2017,,
Escondido 3,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIescondido3,LeveloggerII,ft,C,4/5/2010,,
LeveloggerIIescondido3,LeveloggerII,ft,C,16/05/2010,,
LeveloggerIIescondido3,LeveloggerII,ft,C,19/06/2010 ,,
Escondido 3a,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LT_EDGEescondido3a,LT_EDGE,m,C,9/13/2016,,
LT_EDGEescondido3a,LT_EDGE,m,C,3/8/2017,,
LT_EDGEescondido3a,LT_EDGE,m,C,4/11/2017,,
LT_EDGEescondido3a,LT_EDGE,m,C,5/3/2017,,
LT_EDGEescondido3a,LT_EDGE,m,C,10/11/2018,,
LT_EDGEescondido3a,LT_EDGE,ft,C,12/26/2021,,
Escondido 3b,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIescondido3b,LeveloggerII,ft,C,16/05/2010,,
LeveloggerIIescondido3b,LeveloggerII,ft,C,19/06/2010,,
LT_EDGEescondido3b,LT_EDGE,ft,C,9/13/2016,,
LT_EDGEescondido3b,LT_EDGE,ft,C,3/8/2017,,
LT_EDGEescondido3b,LT_EDGE,ft,C,5/3/2017,,
LT_EDGEescondido3b,LT_EDGE,ft,C,11/4/2017,,
LT_EDGEescondido3b,LT_EDGE,ft,C,12/26/2021,,
Escondido 4,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIescondido4,LeveloggerII,ft,C,16/05/2010 ,,
LeveloggerIIescondido4,LeveloggerII,ft,C,19/06/2010,,
LT_EDGEescondido4,LT_EDGE,ft,C,9/7/2021,,
Escondido 5,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LT_EDGEescondido5,LT_EDGE,ft,C,9/13/2016,,
LT_EDGEescondido5,LT_EDGE,ft,C,3/8/2017,,
LT_EDGEescondido5,LT_EDGE,ft,C,11/4/2017,,
LT_EDGEescondido5,LT_EDGE,ft,C,10/2/2021,,
Lower Jalama Vaqueros,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIlowerjalamavaqueros,LeveloggerII,ft,C,15/05/2010,,
LT_Goldlowerjalamavaqueros,LT_Gold,ft,C,6/16/2016,,
LT_Goldlowerjalamavaqueros,LT_Gold,ft,C,1/18/2017,,
LT_Goldlowerjalamavaqueros,LT_Gold,ft,C,4/11/2017,,
LeveloggerIIlowerjalamavaqueros,LeveloggerII,ft,C,9/3/2017,,
Oaks 1,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIoaks1,LeveloggerII,ft,C,5/15/2010,,
LeveloggerIIoaks1,LeveloggerII,ft,C,9/6/2010,,
LT_Goldoaks1,LT_Gold,ft,C,6/16/2016,,
LT_Goldoaks1,LT_Gold,ft,C,1/18/2017,,
LT_Goldoaks1,LT_Gold,ft,C,3/8/2017,,
LT_Goldoaks1,LT_Gold,ft,C,4/10/2017,,
L5_LToaks1,L5_LT,ft,C,2/24/2021,,
L5_LToaks1,L5_LT,m,C,12/5/2021,,
Oaks 2,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LT_EDGEoaks2,LT_EDGE,m,C,9/14/2016,,
L5_LToaks2,L5_LT,ft,C,2/24/2021,,
LeveloggerIIoaks2,LeveloggerII,ft,C,5/15/2010,,
LeveloggerIIoaks2,LeveloggerII,ft,C,6/19/2010,,
Oaks 3b,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIoaks3b,LeveloggerII,ft,C,5/15/2010,,
LeveloggerIIoaks3b,LeveloggerII,ft,C,6/19/2010,,
LT_EDGEoaks3b,LT_EDGE,ft,F,9/14/2016,,
LT_EDGEoaks3b,LT_EDGE,ft,F,3/8/2017,,
LT_EDGEoaks3b,LT_EDGE,ft,F,4/10/2017,,
LT_EDGEoaks3b,LT_EDGE,ft,F,5/2/2017,,
LT_EDGEoaks3b,LT_EDGE,ft,F,10/4/2017,,
LT_EDGEoaks3b,LT_EDGE,ft,F,6/23/2018,,
LT_EDGEoaks3b,LT_EDGE,ft,F,6/23/2018,,
LT_EDGEoaks3b,LT_EDGE,ft,F,8/24/2021,,
Oaks 3bbl,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIoaks3bbl,LeveloggerII,ft,C,8/10/2018,,
LT_Goldoaks3bbl,LT_Gold,ft,C,10/8/2018,,
Oaks 4,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIoaks4,LeveloggerII,ft,C,5/15/2010,,
LeveloggerIIoaks4,LeveloggerII,ft,C,6/19/2010,,
LT_Goldoaks4,LT_Gold,ft,C,6/16/2016,,
LT_Goldoaks4,LT_Gold,ft,C,1/18/2017,,
LT_Goldoaks4,LT_Gold,ft,C,4/10/2017,,
LeveloggerIIoaks4,LeveloggerII,ft,C,8/3/2017,,
L5_LToaks4,L5_LT,ft,C,2/24/2021,,
Oaks 5,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIoaks5,LeveloggerII,ft,C,5/15/2010,,
LeveloggerIIoaks5,LeveloggerII,ft,C,6/19/2010,,
L5_LToaks5,L5_LT,ft,C,2/24/2021,,
Quail Canyon 1,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIquailcanyon1,LeveloggerII,ft,C,5/15/2010,,
LT_Goldquailcanyon1,LT_Gold,ft,C,6/16/2016,,
LT_Goldquailcanyon1,LT_Gold,ft,C,9/14/2016,,
LT_Goldquailcanyon1,LT_Gold,ft,C,4/10/2017,,
LeveloggerIIquailcanyon1,LeveloggerII,ft,C,8/3/2017,,
Tinta 1,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIItinta1,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIItinta1,LeveloggerII,ft,C,6/24/2010,,
Tinta 11,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LT_Goldtinta11,LT_Gold,ft,C,6/16/2016,,
LT_Goldtinta11,LT_Gold,ft,C,1/18/2017,,
LT_Goldtinta11,LT_Gold,ft,C,4/11/2017,,
LeveloggerIItinta11,LeveloggerII,ft,C,9/3/2017,,
LT_Goldtinta11,LT_Gold,ft,C,6/24/2018,,
LeveloggerIItinta11,LeveloggerII,ft,C,6/24/2018,,
Tinta 11b,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LT_EDGEtinta11b,LT_EDGE,ft,C,9/14/2016,,
LT_EDGEtinta11b,LT_EDGE,ft,C,3/9/2017,,
LT_EDGEtinta11b,LT_EDGE,ft,C,5/3/2017,,
LT_EDGEtinta11b,LT_EDGE,ft,C,11/4/2017,,
LT_EDGEtinta11b,LT_EDGE,ft,C,6/24/2018,,
LT_EDGEtinta11b,LT_EDGE,ft,C,6/24/2018,,
LT_EDGEtinta11b,LT_EDGE,ft,C,9/7/2021,,
Tinta 2,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIItinta2,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIItinta2,LeveloggerII,ft,C,6/24/2010,,
LT_Goldtinta2,LT_Gold,ft,C,6/16/2016,,
LT_Goldtinta2,LT_Gold,ft,C,1/16/2017,,
LT_Goldtinta2,LT_Gold,ft,C,4/11/2017,,
LeveloggerIItinta2,LeveloggerII,ft,C,9/3/2017,,
LT_EDGEtinta2,LT_EDGE,ft,C,9/7/2021,,
Tinta 3,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIItinta3,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIItinta3,LeveloggerII,ft,C,6/24/2010,,
LT_EDGEtinta3,LT_EDGE,ft,C,9/14/2016,,
LT_EDGEtinta3,LT_EDGE,ft,C,3/9/2017,,
LT_EDGEtinta3,LT_EDGE,ft,C,5/3/2017,,
LT_EDGEtinta3,LT_EDGE,ft,C,11/4/2017,,
LT_EDGEtinta3,LT_EDGE,ft,C,3/23/2021,,
Tinta 3bl,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIItinta3bl,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIItinta3bl,LeveloggerII,ft,C,6/24/2010,,
Tinta 4,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIItinta4,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIItinta4,LeveloggerII,ft,C,6/24/2010,,
Tinta 5,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIItinta5,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIItinta5,LeveloggerII,ft,C,6/24/2010,,
Tinta 5b,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LT_Goldtinta5b,LT_Gold,ft,C,6/16/2016,,
LT_Goldtinta5b,LT_Gold,ft,C,1/16/2017,,
LT_Goldtinta5b,LT_Gold,ft,C,4/11/2017,,
LeveloggerIItinta5b,LeveloggerII,ft,C,9/3/2017,,
Tinta 6,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIItinta6,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIItinta6,LeveloggerII,ft,C,6/24/2010,,
LT_Goldtinta6,LT_Gold,ft,C,6/16/2016,,
LT_Goldtinta6,LT_Gold,ft,C,1/16/2017,,
LT_Goldtinta6,LT_Gold,ft,C,4/11/2017,,
LeveloggerIItinta6,LeveloggerII,ft,C,9/3/2017,,
Tinta 7,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIItinta7,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIItinta7,LeveloggerII,ft,C,6/24/2010,,
LT_EDGEtinta7,LT_EDGE,m,C,9/14/2016,,
LT_EDGEtinta7,LT_EDGE,ft,C,12/26/2021,,
Venadito 2,,,,,,
ID,instrumentType,levelUnit,temperatureUnit,dateUpdated,SensorDepth,BarometricallyCorrected
LeveloggerIIvenadito2,LeveloggerII,ft,C,5/16/2010,,
LeveloggerIIvenadito2,LeveloggerII,ft,C,6/23/2010,,
LT_EDGEvenidido2,LT_EDGE,ft,C,9/13/2016,,
LT_EDGEvenidido2,LT_EDGE,ft,C,3/11/2018,,
